project_id,reporting_month,project_length_km,original_contract_value_inr_cr,planned_duration_months,months_since_start,state,project_type,contractor,planned_physical_progress_pct,actual_physical_progress_pct,physical_progress_variance_pct,planned_financial_progress_pct,actual_financial_progress_pct,financial_progress_variance_pct,planned_cost_to_date_inr_cr,actual_expenditure_inr_cr,actual_cost_to_date_inr_cr,material_cost_inr_cr,labour_cost_inr_cr,equipment_cost_inr_cr,variation_cost_inr_cr,delay_related_cost_inr_cr,contractor_productivity_factor,land_acquisition_delay_days,utility_shifting_delay_days,environment_clearance_delay_days,material_delay_days,labour_shortage_days,equipment_unavailability_days,weather_disruption_days,traffic_diversion_delay_days,design_change_delay_days,approval_delay_days,expenditure_gap_inr_cr,cost_tracking_gap_inr_cr,delay_factor_count,delay_factor_severity,project_age_ratio,months_to_planned_completion,schedule_pressure,progress_efficiency,cost_growth_rate,recent_progress_trend_3m,recent_cost_trend_3m,consecutive_underperforming_months,recent_adverse_events_3m,is_terminal_snapshot,final_cost_overrun_pct,cost_overrun
HRI-0001,2023-04,10.66,179.06,12,1,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,1.97,7.55,5.58,1.97,8.21,6.24,3.52,14.71,14.12,7.91,3.53,2.4,0.0,0.28,1.013,24.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,11.190000000000001,0.5900000000000016,2.0,24.8,0.08333333333333333,11,8.404545454545454,3.83248730964467,4.011363636363636,7.55,14.12,1,1.0,False,5.11,0
HRI-0001,2023-05,10.66,179.06,12,2,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,7.41,15.2,7.79,7.41,16.41,9.0,13.26,29.39,26.74,14.6,6.89,4.73,0.0,0.51,1.013,24.6,11.1,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,16.130000000000003,2.650000000000002,3.0,41.2,0.16666666666666666,10,8.48,2.051282051282051,2.0165912518853695,7.6,13.37,2,2.0,False,5.11,0
HRI-0001,2023-06,10.66,179.06,12,3,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,15.62,23.81,8.18,15.62,25.61,9.99,27.98,45.86,42.78,23.16,11.18,7.89,0.0,0.55,1.086,24.6,11.1,0.0,0.0,0.0,0.0,,3.4,0.0,0.0,17.88,3.0799999999999983,,,0.25,9,8.465555555555556,1.5243277848911652,1.5289492494639028,7.9366666666666665,14.26,0,2.0,False,5.11,0
HRI-0001,2023-07,10.66,179.06,12,4,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,25.93,32.31,6.38,25.93,34.87,8.94,46.42,62.43,57.11,31.62,14.69,10.21,0.0,0.59,1.139,24.6,11.1,0.0,0.0,0.0,0.0,12.8,3.4,0.0,0.0,16.009999999999998,5.32,4.0,51.900000000000006,0.3333333333333333,8,8.46125,1.2460470497493252,1.2302886686772943,8.253333333333334,14.33,0,2.0,False,5.11,0
HRI-0001,2023-08,10.66,179.06,12,5,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,37.62,39.88,2.27,37.62,43.34,5.72,67.35,77.6,72.28,40.15,18.09,13.29,0.0,0.76,1.09,24.6,11.1,0.0,0.0,0.0,0.0,27.2,3.4,0.0,0.0,10.25,5.319999999999993,4.0,66.3,0.4166666666666667,7,8.588571428571429,1.0600744284954813,1.0731997030438012,8.226666666666668,15.180000000000001,1,2.0,False,5.11,0
HRI-0001,2023-09,10.66,179.06,12,6,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,50.0,48.59,-1.41,50.0,52.88,2.88,89.53,94.69,87.47,48.28,22.01,16.28,0.0,0.9,1.088,24.6,11.1,0.0,0.0,0.0,0.0,39.2,3.4,0.0,0.0,5.159999999999997,7.219999999999999,4.0,78.30000000000001,0.5,6,8.568333333333333,0.9718000000000001,0.9769909527532671,8.260000000000002,14.896666666666667,0,3.0,False,5.11,0
HRI-0001,2023-10,10.66,179.06,12,7,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,62.38,57.96,-4.43,62.38,63.05,0.66,111.71,112.9,104.7,58.51,26.19,19.09,,0.9,1.216,24.6,11.1,0.0,0.0,0.0,0.0,39.8,3.4,0.0,0.0,1.190000000000012,8.200000000000003,4.0,78.9,0.5833333333333334,5,8.408,0.9291439563962809,0.9372482320293618,8.549999999999999,15.863333333333335,0,3.0,False,5.11,0
HRI-0001,2023-11,10.66,179.06,12,8,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,74.07,67.44,-6.63,74.07,73.14,-0.94,132.64,130.96,121.06,67.7,30.35,22.06,0.0,0.94,1.182,24.6,11.1,0.0,0.6,0.0,0.0,42.9,3.4,0.0,0.0,-1.6799999999999784,9.900000000000006,5.0,82.6,0.6666666666666666,4,8.14,0.9104900769542326,0.912696019300362,9.186666666666666,16.26,0,3.0,False,5.11,0
HRI-0001,2023-12,10.66,179.06,12,9,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,84.38,75.77,-8.61,84.38,81.92,-2.45,151.08,146.69,136.7,76.16,34.18,25.27,0.0,1.09,1.163,27.8,11.1,0.0,0.6,10.7,0.0,43.3,3.4,0.0,0.0,-4.390000000000015,9.990000000000009,6.0,96.89999999999999,0.75,3,8.076666666666668,0.8979616022754208,0.9048186391315858,9.059999999999997,16.409999999999997,1,3.0,False,5.11,0
HRI-0001,2024-01,10.66,179.06,12,10,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,92.59,84.53,-8.06,92.59,91.51,-1.08,165.8,163.85,152.91,85.27,38.17,28.39,0.0,1.09,1.082,27.8,11.1,0.0,0.6,10.7,0.0,43.9,3.4,0.0,0.0,-1.950000000000017,10.939999999999998,6.0,97.5,0.8333333333333334,2,7.734999999999999,0.9129495625877524,0.9222557297949335,8.856666666666667,16.069999999999997,0,3.0,False,5.11,0
