data_provenance,project_id,project_name,highway_number,state,project_type,contractor,project_length_km,original_contract_value_inr_cr,planned_start_date,planned_completion_date,planned_duration_months,reporting_month,months_since_start,project_status,planned_physical_progress_pct,actual_physical_progress_pct,physical_progress_variance_pct,planned_financial_progress_pct,actual_financial_progress_pct,financial_progress_variance_pct,planned_expenditure_inr_cr,actual_expenditure_inr_cr,expenditure_variance_pct,land_acquisition_delay_days,utility_shifting_delay_days,environment_clearance_delay_days,material_delay_days,labour_shortage_days,equipment_unavailability_days,weather_disruption_days,contractor_productivity_factor,traffic_diversion_delay_days,design_change_delay_days,approval_delay_days,planned_cost_to_date_inr_cr,actual_cost_to_date_inr_cr,material_cost_inr_cr,labour_cost_inr_cr,equipment_cost_inr_cr,variation_cost_inr_cr,delay_related_cost_inr_cr,final_delay_days,significant_delay,final_cost_overrun_pct,cost_overrun
SYNTHETIC,HRI-0001,NH-476 Road Widening Package 11,NH-476,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,10.66,179.06,2023-03-01,2024-03-01,12,2023-04,1,Ongoing,1.97,7.55,5.58,1.97,8.21,6.24,3.52,14.71,6.24,24.6,0.0,0.0,0.0,0.0,0.0,0.2,1.013,0.0,0.0,0.0,3.52,14.12,7.91,3.53,2.4,0.0,0.28,0,0,5.11,0
SYNTHETIC,HRI-0001,NH-476 Road Widening Package 11,NH-476,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,10.66,179.06,2023-03-01,2024-03-01,12,2023-05,2,Ongoing,7.41,15.2,7.79,7.41,16.41,9.0,13.26,29.39,9.0,24.6,11.1,0.0,0.0,0.0,0.0,5.5,1.013,0.0,0.0,0.0,13.26,26.74,14.6,6.89,4.73,0.0,0.51,0,0,5.11,0
SYNTHETIC,HRI-0001,NH-476 Road Widening Package 11,NH-476,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,10.66,179.06,2023-03-01,2024-03-01,12,2023-06,3,Ongoing,15.62,23.81,8.18,15.62,25.61,9.99,27.98,45.86,9.99,24.6,11.1,0.0,0.0,0.0,0.0,,1.086,3.4,0.0,0.0,27.98,42.78,23.16,11.18,7.89,0.0,0.55,0,0,5.11,0
SYNTHETIC,HRI-0001,NH-476 Road Widening Package 11,NH-476,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,10.66,179.06,2023-03-01,2024-03-01,12,2023-07,4,Ongoing,25.93,32.31,6.38,25.93,34.87,8.94,46.42,62.43,8.94,24.6,11.1,0.0,0.0,0.0,0.0,12.8,1.139,3.4,0.0,0.0,46.42,57.11,31.62,14.69,10.21,0.0,0.59,0,0,5.11,0
SYNTHETIC,HRI-0001,NH-476 Road Widening Package 11,NH-476,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,10.66,179.06,2023-03-01,2024-03-01,12,2023-08,5,Ongoing,37.62,39.88,2.27,37.62,43.34,5.72,67.35,77.6,5.72,24.6,11.1,0.0,0.0,0.0,0.0,27.2,1.09,3.4,0.0,0.0,67.35,72.28,40.15,18.09,13.29,0.0,0.76,0,0,5.11,0
SYNTHETIC,HRI-0001,NH-476 Road Widening Package 11,NH-476,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,10.66,179.06,2023-03-01,2024-03-01,12,2023-09,6,Ongoing,50.0,48.59,-1.41,50.0,52.88,2.88,89.53,94.69,2.88,24.6,11.1,0.0,0.0,0.0,0.0,39.2,1.088,3.4,0.0,0.0,89.53,87.47,48.28,22.01,16.28,0.0,0.9,0,0,5.11,0
SYNTHETIC,HRI-0001,NH-476 Road Widening Package 11,NH-476,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,10.66,179.06,2023-03-01,2024-03-01,12,2023-10,7,Ongoing,62.38,57.96,-4.43,62.38,63.05,0.66,111.71,112.9,0.66,24.6,11.1,0.0,0.0,0.0,0.0,39.8,1.216,3.4,0.0,0.0,111.71,104.7,58.51,26.19,19.09,,0.9,0,0,5.11,0
SYNTHETIC,HRI-0001,NH-476 Road Widening Package 11,NH-476,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,10.66,179.06,2023-03-01,2024-03-01,12,2023-11,8,Ongoing,74.07,67.44,-6.63,74.07,73.14,-0.94,132.64,130.96,-0.94,24.6,11.1,0.0,0.6,0.0,0.0,42.9,1.182,3.4,0.0,0.0,132.64,121.06,67.7,30.35,22.06,0.0,0.94,0,0,5.11,0
SYNTHETIC,HRI-0001,NH-476 Road Widening Package 11,NH-476,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,10.66,179.06,2023-03-01,2024-03-01,12,2023-12,9,Ongoing,84.38,75.77,-8.61,84.38,81.92,-2.45,151.08,146.69,-2.45,27.8,11.1,0.0,0.6,10.7,0.0,43.3,1.163,3.4,0.0,0.0,151.08,136.7,76.16,34.18,25.27,0.0,1.09,0,0,5.11,0
SYNTHETIC,HRI-0001,NH-476 Road Widening Package 11,NH-476,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,10.66,179.06,2023-03-01,2024-03-01,12,2024-01,10,Ongoing,92.59,84.53,-8.06,92.59,91.51,-1.08,165.8,163.85,-1.08,27.8,11.1,0.0,0.6,10.7,0.0,43.9,1.082,3.4,0.0,0.0,165.8,152.91,85.27,38.17,28.39,0.0,1.09,0,0,5.11,0
SYNTHETIC,HRI-0001,NH-476 Road Widening Package 11,NH-476,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,10.66,179.06,2023-03-01,2024-03-01,12,2024-02,11,Ongoing,98.03,94.77,-3.26,98.03,,,175.54,,,27.8,11.1,0.0,0.6,10.7,0.0,,1.103,3.4,0.0,0.0,175.54,170.31,94.22,43.01,31.98,0.0,1.1,0,0,5.11,0
SYNTHETIC,HRI-0001,NH-476 Road Widening Package 11,NH-476,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,10.66,179.06,2023-03-01,2024-03-01,12,2024-03,12,Completed,100.0,100.0,0.0,100.0,100.0,0.0,179.06,179.06,0.0,27.8,11.1,0.0,0.6,10.7,0.0,,1.098,3.4,0.0,0.0,179.06,188.21,104.3,47.97,34.83,0.0,1.11,0,0,5.11,0
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2023-04,1,Ongoing,0.29,2.91,2.62,0.29,2.92,2.63,5.22,53.08,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.023,0.0,0.0,0.0,5.22,59.73,34.71,14.16,10.85,0.0,0.01,61,1,14.85,1
